layernum,datatype,name,purpose
64,44,pwell,drawing
122,16,pwell,pin
64,59,pwell,label
64,13,pwell,res
64,14,pwell,cut
64,20,nwell,drawing
64,16,nwell,pin
64,5,nwell,label
84,23,nwell,net
64,18,dnwell,drawing
65,20,diff,drawing
65,16,diff,pin
65,6,diff,label
65,13,diff,res
65,14,diff,cut
65,23,diff,net
65,4,diff,cut
65,8,diff,boundary
65,44,tap,drawing
65,48,tap,pin
65,5,tap,label
65,41,tap,net
65,60,tap,boundary
94,20,psdm,drawing
93,44,nsdm,drawing
66,20,poly,drawing
66,16,poly,pin
66,5,poly,label
66,13,poly,res
66,14,poly,cut
66,9,poly,gate
66,4,poly,boundary
66,25,poly,probe
66,15,poly,short
66,23,poly,net
66,83,poly,model
125,44,lvtn,drawing
78,44,hvtp,drawing
66,44,licon1,drawing
66,58,licon1,pin
66,41,licon1,label
66,60,licon1,boundary
95,20,npc,drawing
67,20,li1,drawing
67,16,li1,pin
67,5,li1,label
67,13,li1,res
67,14,li1,cut
67,23,li1,net
67,4,li1,boundary
67,10,li1,blockage
67,15,li1,short
67,25,li1,probe
67,44,mcon,drawing
67,48,mcon,pin
67,41,mcon,label
67,60,mcon,boundary
68,20,met1,drawing
68,16,met1,pin
68,5,met1,label
68,13,met1,res
68,14,met1,cut
68,23,met1,net
68,4,met1,boundary
68,10,met1,blockage
68,15,met1,short
68,25,met1,probe
68,44,via,drawing
68,58,via,pin
68,41,via,label
68,60,via,boundary
69,20,met2,drawing
69,16,met2,pin
69,5,met2,label
69,13,met2,res
69,14,met2,cut
69,23,met2,net
69,4,met2,boundary
69,10,met2,blockage
69,15,met2,short
69,25,met2,probe
69,44,via2,drawing
69,58,via2,pin
69,41,via2,label
69,60,via2,boundary
70,20,met3,drawing
70,16,met3,pin
70,5,met3,label
70,13,met3,res
70,14,met3,cut
70,23,met3,net
70,4,met3,boundary
70,10,met3,blockage
70,15,met3,short
70,25,met3,probe
70,17,met3,fuse
70,44,via3,drawing
70,48,via3,pin
70,41,via3,label
70,60,via3,boundary
71,20,met4,drawing
71,16,met4,pin
71,5,met4,label
71,13,met4,res
71,14,met4,cut
71,23,met4,net
71,4,met4,boundary
71,10,met4,blockage
71,15,met4,short
71,25,met4,probe
71,17,met4,fuse
71,44,via4,drawing
71,48,via4,pin
71,41,via4,label
71,60,via4,boundary
72,20,met5,drawing
72,16,met5,pin
72,5,met5,label
72,13,met5,res
72,14,met5,cut
72,23,met5,net
72,4,met5,boundary
72,10,met5,blockage
72,15,met5,short
72,25,met5,probe
72,17,met5,fuse
236,0,outline,drawing
